"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","EXCH","TOT","NATUSD","A","2003",0.612472,
"GBR","EXCH","TOT","NATUSD","A","2004",0.54618,
"GBR","EXCH","TOT","NATUSD","A","2005",0.549998,
"GBR","EXCH","TOT","NATUSD","A","2006",0.543487,
"GBR","EXCH","TOT","NATUSD","A","2007",0.499772,
"GBR","EXCH","TOT","NATUSD","A","2008",0.543966,
"GBR","EXCH","TOT","NATUSD","A","2009",0.641919,
"GBR","EXCH","TOT","NATUSD","A","2010",0.647179,
"GBR","EXCH","TOT","NATUSD","A","2011",0.624141,
"GBR","EXCH","TOT","NATUSD","A","2012",0.633047,
"GBR","EXCH","TOT","NATUSD","A","2013",0.639661,
"GBR","EXCH","TOT","NATUSD","A","2014",0.60773,
"GBR","EXCH","TOT","NATUSD","A","2015",0.654545,
"GBR","EXCH","TOT","NATUSD","A","2016",0.740634,
"GBR","EXCH","TOT","NATUSD","A","2017",0.776977,
"GBR","EXCH","TOT","NATUSD","A","2018",0.749532,
